album_id,album_name,album_release_date,album_tracks,album_external_url
3smvpv7CdrhVcGYaNDLOqn,Despacito Feat. Justin Bieber (Remix),2017-04-17,1,https://open.spotify.com/album/3smvpv7CdrhVcGYaNDLOqn
7mRliFLzSnVPzjO0sSy3ar,I'm the One,2017-04-27,1,https://open.spotify.com/album/7mRliFLzSnVPzjO0sSy3ar
3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),2017-03-03,16,https://open.spotify.com/album/3T4tUhGYeRNVUGevb0wThu
4eLPsYPBmXABThSJ821sqY,DAMN.,2017-04-14,14,https://open.spotify.com/album/4eLPsYPBmXABThSJ821sqY
4YtTX4GPvBvewbJvBfXCS2,FUTURE,2017-08-04,17,https://open.spotify.com/album/4YtTX4GPvBvewbJvBfXCS2
4JPguzRps3kuWDD5GS6oXr,Memories...Do Not Open,2017-04-07,12,https://open.spotify.com/album/4JPguzRps3kuWDD5GS6oXr
0VMGOBhLrC5Q2bfZnrocVN,Stay,2017-02-23,1,https://open.spotify.com/album/0VMGOBhLrC5Q2bfZnrocVN
0IUCAsckpNyV4wHKIHQawC,It Ain't Me (with Selena Gomez),2017-02-16,1,https://open.spotify.com/album/0IUCAsckpNyV4wHKIHQawC
2e5CxfyEwBW115beiwh7Mc,Swalla (feat. Nicki Minaj & Ty Dolla $ign),2017-02-23,1,https://open.spotify.com/album/2e5CxfyEwBW115beiwh7Mc
7CUczABBlsbd5fqng9mjxo,Malibu,2017-05-11,1,https://open.spotify.com/album/7CUczABBlsbd5fqng9mjxo
5yYFrOnqG8cEciKnsxHz2r,Illuminate (Deluxe),2017-04-20,16,https://open.spotify.com/album/5yYFrOnqG8cEciKnsxHz2r
4PgleR09JVnm3zY1fW3XBA,24K Magic,2016-11-17,9,https://open.spotify.com/album/4PgleR09JVnm3zY1fW3XBA
4b13SJlne61y53KSEwuQtD,Symphony (feat. Zara Larsson),2017-03-16,1,https://open.spotify.com/album/4b13SJlne61y53KSEwuQtD
1HV4uCbhCicfl07dm2WvU0,Despacito (Featuring Daddy Yankee),2017-01-13,1,https://open.spotify.com/album/1HV4uCbhCicfl07dm2WvU0
0t0NkQulrNkxw2oUZZHboA,Attention,2017-04-20,1,https://open.spotify.com/album/0t0NkQulrNkxw2oUZZHboA
7Ix0FS4f1lK42C3rix5rHg,More Life,2017-03-18,22,https://open.spotify.com/album/7Ix0FS4f1lK42C3rix5rHg
1FZKIm3JVDCxTchXDo5jOV,Harry Styles,2017-05-12,10,https://open.spotify.com/album/1FZKIm3JVDCxTchXDo5jOV
4CZVGlURM8vncG4ftZULTS,XO TOUR Llif3,2017-03-24,1,https://open.spotify.com/album/4CZVGlURM8vncG4ftZULTS
6wu7tiTr8zchRG7PWwTOK1,First Time,2017-04-28,1,https://open.spotify.com/album/6wu7tiTr8zchRG7PWwTOK1
6pFZVwBPXj3m4dyaKcnVev,Felices los 4,2017-04-21,1,https://open.spotify.com/album/6pFZVwBPXj3m4dyaKcnVev
1udLKdsDr7GRmJU6Cxyt7j,Unforgettable,2017,1,https://open.spotify.com/album/1udLKdsDr7GRmJU6Cxyt7j
1FulpD9JiAPbqP2F31pmUP,Issues,2017-01-13,1,https://open.spotify.com/album/1FulpD9JiAPbqP2F31pmUP
2v9rQe4F8fVSh5v8bAq0jF,Scared to Be Lonely,2017-01-27,1,https://open.spotify.com/album/2v9rQe4F8fVSh5v8bAq0jF
1UIlzhqJLiA3f6OVw7QKn6,Slide (feat. Frank Ocean & Migos),2017-02-24,1,https://open.spotify.com/album/1UIlzhqJLiA3f6OVw7QKn6
5s0rmjP8XOPhP6HhqOhuyC,Stoney (Deluxe),2016-12-09,18,https://open.spotify.com/album/5s0rmjP8XOPhP6HhqOhuyC
6301sWkK7hVwcrhcEwKPcH,No Promises (feat. Demi Lovato),2017-03-31,1,https://open.spotify.com/album/6301sWkK7hVwcrhcEwKPcH
1HiN2YXZcc3EjmVZ4WjfBk,Everybody,2017-05-05,13,https://open.spotify.com/album/1HiN2YXZcc3EjmVZ4WjfBk
0VvK3TRKSJTk2FR4bzCV1w,Thunder,2017-04-27,1,https://open.spotify.com/album/0VvK3TRKSJTk2FR4bzCV1w
